date,turnover,vol_share,extension,momentum,rsi,volatility,basket_corr,score,close,dollar_vol,raw_turnover_ratio,raw_vol_share,raw_extension,raw_momentum_60d,raw_rsi14,raw_realized_vol20,raw_basket_corr
2022-01-03,,,,,,,,,65.93,194500290.79,,,,,,,
2022-01-04,,,,,100.0,,,,67.62,253780700.04,,,,,100.0,,
2022-01-05,,,,,97.5144,,,,67.06,396719046.92,,,,,97.5144,,
2022-01-06,,,,,87.7801,,,,64.74,486410459.34,,,,,87.7801,,
2022-01-07,,,,,88.3676,,,,65.83,252882653.5,,,,,88.3676,,
2022-01-10,,,,,87.1668,,,,65.54,201791237.08,,,,,87.1668,,
2022-01-11,,,,,87.4703,,,,66.02,240036044.16,,,,,87.4703,,
2022-01-12,,,,,87.8067,,,,66.54,143372473.74,,,,,87.8067,,
2022-01-13,,,,,87.6605,,,,66.51,174538468.44,,,,,87.6605,,
2022-01-14,,,,,87.7556,,,,66.64,144009439.84,,,,,87.7556,,
2022-01-18,,,,,75.5868,,,,64.12,197462669.6,,,,,75.5868,,
2022-01-19,,,,,66.9392,,,,61.94,233322467.34,,,,,66.9392,,
2022-01-20,,,,,60.0802,,,,59.92,229132761.76,,,,,60.0802,,
2022-01-21,,,,,53.8709,,,,57.81,294048426.03,,,,,53.8709,,
2022-01-24,,,,,51.7157,,,,57.02,277467017.7,,,,,51.7157,,
2022-01-25,,,,,46.7909,,,,55.09,287293578.74,,,,,46.7909,,
2022-01-26,,,,,45.5563,,,,54.58,249939340.18,,,,,45.5563,,
2022-01-27,,,,,43.7525,,,,53.84,549668119.76,,,,,43.7525,,
2022-01-28,,,,,35.6569,,,,49.9,994653556.3,,,,,35.6569,,
2022-01-31,,,,,41.1348,,,,51.74,337984151.18,,0.0055,,,41.1348,,
2022-02-01,,,,,43.4726,,28.2918,,52.57,237017154.57,,0.0054,,,43.4726,42.8706,0.2829
2022-02-02,,,,,45.898,,30.0044,,53.44,224988652.48,,0.0053,,,45.898,41.9692,0.3
2022-02-03,,,,,43.256,,42.5026,,52.29,266914723.32,,0.0052,,,43.256,42.0935,0.425
2022-02-04,,,,,42.165,,22.0334,,51.81,174551413.08,,0.0048,,,42.165,41.231,0.2203
2022-02-07,,,,,42.2956,,20.692,,51.85,163934559.8,,0.0048,,,42.2956,40.1792,0.2069
2022-02-08,,,,,44.0641,,23.3026,,52.37,144701137.98,,0.0048,,,44.0641,40.8557,0.233
2022-02-09,,,,,50.6708,,28.0101,,54.48,171674924.4,,0.0047,,,50.6708,44.2493,0.2801
2022-02-10,,,,,49.5069,,27.3649,,54.09,337526359.92,,0.0048,,,49.5069,43.7822,0.2736
2022-02-11,,,,,48.4017,,27.9895,,53.73,239749116.57,,0.0047,,,48.4017,43.6509,0.2799
2022-02-14,,,,,45.7439,,27.9034,,52.86,187298785.14,,0.0047,,,45.7439,43.4316,0.279
2022-02-15,,,,,54.9589,,22.7304,,55.87,182031778.97,,0.0047,,,54.9589,48.2295,0.2273
2022-02-16,,,,,56.3386,,23.7121,,56.39,149497953.77,,0.0047,,,56.3386,47.3934,0.2371
2022-02-17,,,,,56.5041,,22.7449,,56.45,214021594.6,,0.0047,,,56.5041,46.2095,0.2274
2022-02-18,,,,,53.1747,,21.1569,,55.53,192751182.54,,0.0048,,,53.1747,44.8726,0.2116
2022-02-22,,,,,46.4191,,22.2872,,53.42,184103803.32,,0.0049,,,46.4191,46.5833,0.2229
2022-02-23,,,,,42.4549,,22.4437,,51.98,150072653.54,,0.0049,,,42.4549,46.0173,0.2244
2022-02-24,,,,,42.0521,,16.5633,,51.83,224023772.4,,0.0048,,,42.0521,45.9554,0.1656
2022-02-25,,,,,46.1602,,23.3996,,52.95,164768486.25,,0.0045,,,46.1602,46.5154,0.234
2022-02-28,,,,,40.5977,,27.3253,,50.94,241818853.14,,0.0039,,,40.5977,39.9418,0.2733
2022-03-01,,,,,37.1224,,28.1165,,49.49,211787506.0,,0.0038,,,37.1224,39.0098,0.2812
2022-03-02,,,,,45.2957,,29.9415,,51.84,180749905.92,,0.0037,,,45.2957,42.2543,0.2994
2022-03-03,,,,,45.876,,29.2746,,52.02,233364529.08,,0.0038,,,45.876,41.8064,0.2927
2022-03-04,,,,,41.2898,,38.7829,,50.27,189153995.47,,0.0037,,,41.2898,42.835,0.3878
2022-03-07,,,,,33.7015,,49.2017,,46.61,221157831.38,,0.0037,,,33.7015,50.1753,0.492
2022-03-08,,,,,32.2372,,44.744,,45.77,240400105.27,,0.0037,,,32.2372,50.3227,0.4474
2022-03-09,,,,,39.0299,,44.3182,,47.77,162991144.46,,0.0037,,,39.0299,52.9989,0.4432
2022-03-10,,,,,36.6929,,39.8464,,46.59,128749647.99,,0.0037,,,36.6929,50.7805,0.3985
2022-03-11,,,,,34.2765,,40.5746,,45.3,131609455.8,,0.0035,,,34.2765,51.2849,0.4057
2022-03-14,,,,,32.7807,,37.3343,,44.47,145467729.21,,0.0035,,,32.7807,51.3893,0.3733
2022-03-15,,,,,37.9457,,34.2079,,45.94,109544481.28,,0.0035,-0.1706,,37.9457,53.409,0.3421
2022-03-16,,,,,45.0863,,40.8821,,48.25,168313900.75,,0.0034,-0.1232,,45.0863,52.4684,0.4088
2022-03-17,,,,,46.8264,,42.9372,,48.86,120072717.1,,0.0034,-0.1061,,46.8264,52.6196,0.4294
2022-03-18,,,,,48.1038,,47.0772,,49.3,208680638.9,,0.0033,-0.0921,,48.1038,52.8577,0.4708
2022-03-21,,,,,47.1338,,46.046,,48.95,94616434.0,,0.0033,-0.0933,,47.1338,52.7352,0.4605
2022-03-22,,,,,49.5742,,47.6862,,49.73,102040688.62,,0.0033,-0.0733,,49.5742,51.8328,0.4769
2022-03-23,,,,,46.4648,,46.5798,,48.68,83134340.96,,0.0033,-0.0871,,46.4648,51.5116,0.4658
2022-03-24,,,,,52.0758,,43.8396,,50.5,102915515.5,,0.0034,-0.0475,,52.0758,53.4329,0.4384
2022-03-25,,,,,52.9798,,43.1712,,50.81,138349431.18,,0.0034,-0.0359,,52.9798,52.8452,0.4317
2022-03-28,,,,,52.6006,,44.2086,,50.7,114857605.2,,0.0034,-0.0322,,52.6006,51.0464,0.4421
2022-03-29,,,,,56.2484,,44.8339,,51.89,148038745.26,0.6859,0.0034,-0.0039,,56.2484,50.5153,0.4483
2022-03-30,,,,,51.6775,,43.8009,,50.62,147642949.04,0.6821,0.0034,-0.0232,-0.2322,51.6775,48.5685,0.438
